act_dem_electors,act_rep_electors,dem_pct,dem_vote,electors,prop_dem_electors,prop_rep_electors,rating,rep_pct,rep_vote,state,total_vote,year
20,0,50.59708817513885,3459923.0,20,10,10,Lean-D,49.40291182486116,3378263.0,PA,6838186.0,2020
4,0,60.59935988395926,307486.0,4,2,2,Solid-D,39.40064011604074,199922.0,RI,507408.0,2020
0,9,44.073391250417906,1091541.0,9,4,5,Solid-R,55.926608749582094,1385103.0,SC,2476644.0,2020
0,3,36.5652201383185,150471.0,3,1,2,Solid-R,63.4347798616815,261043.0,SD,411514.0,2020
0,11,38.172229627933646,1143711.0,11,4,7,Solid-R,61.82777037206635,1852475.0,TN,2996186.0,2020
0,38,47.16927876322047,5259126.0,38,18,20,Lean-R,52.83072123677953,5890347.0,TX,11149473.0,2020
0,6,39.30639487814837,560282.0,6,2,4,Likely-R,60.69360512185163,865140.0,UT,1425422.0,2020
3,0,68.29918655280656,242820.0,3,2,1,Solid-D,31.700813447193436,112704.0,VT,355524.0,2020
13,0,55.15468699939991,2413568.0,13,7,6,Likely-D,44.84531300060009,1962430.0,VA,4375998.0,2020
12,0,59.9255031847907,2369612.0,12,7,5,Solid-D,40.07449681520931,1584651.0,WA,3954263.0,2020
0,5,30.201467686077972,235984.0,5,2,3,Solid-R,69.79853231392202,545382.0,WV,781366.0,2020
10,0,50.319063266533995,1630866.0,10,5,5,Lean-D,49.680936733466005,1610184.0,WI,3241050.0,2020
0,3,27.519565624414906,73491.0,3,1,2,Solid-R,72.4804343755851,193559.0,WY,267050.0,2020
